ORIGINAL,uri
"Carlisle, Francis A.",/agents/people/517
"Carlisle, Joseph L.",/agents/people/518
"Carlisle, Phyllis.",/agents/people/519
"Carlisle, William.",/agents/people/520
"Carlson, John Roy.",/agents/people/521
"Carman, Ada MacVicar.",/agents/people/522
"Carmichael, Stokely.",/agents/people/523
"Carpenter, Etta.",/agents/people/524
"Carpenter, Eugenia S.",/agents/people/525
"Carpenter, Kurt.",/agents/people/526
"Carr, Beatrice.",/agents/people/527
"Carr, H. B.",/agents/people/528
"Carr, Lauren Duane.",/agents/people/529
"Carr, Marian",/agents/people/530
"Carr, Marvin S.",/agents/people/531
"Carr, Marvin Stearns.",/agents/people/532
"Carr, Susan E.",/agents/people/533
"Carrington, Edward.",/agents/people/534
"Carroll, Phil.",/agents/people/535
"Carson, Gerald.",/agents/people/536
"Carter, Thomas M.",/agents/people/537
"Carton, Augustus C.",/agents/people/538
"Cartwright, Dorwin.",/agents/people/539
"Cary, William M.",/agents/people/540
"Case, Leverette N.",/agents/people/541
"Casey, William R.",/agents/people/542
"Cash, William L.",/agents/people/543
"Cassidy, Jay.",/agents/people/544
"Castagnacci, Vincent--Exhibitions.",/agents/people/545
"Cathcart, C. C.",/agents/people/546
"Cavender, George.",/agents/people/547
"Cavines, Jane.",/agents/people/548
"Cawling, Donald J.",/agents/people/549
"Cawthorne, Dennis.",/agents/people/550
"Cecil, Lee M.",/agents/people/551
"Chabut, Jean.",/agents/people/552
"Chamberlin, John R.",/agents/people/553
"Chandler, Bert D.",/agents/people/554
"Chandler, George Moseley.",/agents/people/555
"Chandler, Henry.",/agents/people/556
"Chandler, Sarah Taylor.",/agents/people/557
"Chandler, William G.",/agents/people/558
"Chaney, Henry A.",/agents/people/559
"Chang, Wyszie Shionyu.",/agents/people/560
"Chapin, Charles A. (Charles Augustus)",/agents/people/561
"Chapin, E. R.",/agents/people/562
"Chaplin, Maxwell.",/agents/people/563
"Chapman, Katie.",/agents/people/564
"Charles, Gordon.",/agents/people/565
"Charnetski, Clark J.",/agents/people/566
"Chase, Alberta.",/agents/people/567
"Chase, Delia A.",/agents/people/568
"Chavis, John.",/agents/people/569
"Chawke, Thomas F.",/agents/people/570
"Cheesman, Jack D.",/agents/people/571
"Chenevert, Basil J.",/agents/people/572
"Cherrin, Daniel.",/agents/people/573
"Chester, Eric.",/agents/people/574
"Chevion, Dov.",/agents/people/575
"Cheyney, Ralph.",/agents/people/576
"Childres, Jack.",/agents/people/577
"Childs, B. F.",/agents/people/578
"Childs, Harold Farnsworth.",/agents/people/579
"Childs, Joseph A.",/agents/people/580
"Chilson, Elbert V.",/agents/people/581
"Chin, Vincent.",/agents/people/582
"Chipman, Janet.",/agents/people/583
"Chisholm, Frank P.",/agents/people/585
"Chomsky, Noam.",/agents/people/586
"Chorover, Stephan L.",/agents/people/587
"Christensen, A. Kent.",/agents/people/588
"Christensen, Ethlyn.",/agents/people/589
"Christensen, Halvor N.",/agents/people/590
"Christgau, Oscar Gottlieb.",/agents/people/591
"Christian, Palmer.",/agents/people/592
"Christiancy, G. C.",/agents/people/593
"Christiancy, Nathaniel L.",/agents/people/594
"Chriswell, Keith.",/agents/people/595
"Chrysler, Richard.",/agents/people/596
"Chudwin, David",/agents/people/597
"Church, F. M.",/agents/people/598
"Church, Frank.",/agents/people/599
"Church, William L.",/agents/people/600
"Cianciola, Frank J.",/agents/people/601
"Cimprich, Bernadine.",/agents/people/602
"Cisney, Marcella.",/agents/people/603
"Clancey, Thomas.",/agents/people/604
"Clancy, John Newman.",/agents/people/605
"Clark, Emory W.",/agents/people/606
"Clark, Frederick Converse.",/agents/people/607
"Clark, George Brownell.",/agents/people/608
"Clark, Helen.",/agents/people/609
"Clark, Herbert Watson.",/agents/people/610
"Clark, Horace.",/agents/people/611
"Clark, Iva.",/agents/people/612
"Clark, Joseph S.",/agents/people/613
"Clark, Mary H.",/agents/people/614
"Clark, Max A. X.",/agents/people/615
"Clark, Noreen M.",/agents/people/616
"Clark, Rodger Sherman.",/agents/people/617
"Clarke, Daniel.",/agents/people/618
"Clarke, De Witt C.",/agents/people/619
"Clarke, Dell Deland.",/agents/people/620
"Clarke, Mary Flint.",/agents/people/621
"Clarke, Peter.",/agents/people/622
"Clarke, Sarah.",/agents/people/623
"Clarke, William Flint.",/agents/people/624
"Classer, J. A.",/agents/people/625
"Claxton, William C.",/agents/people/626
"Clay, Grady.",/agents/people/627
"Clay, Margaret L.",/agents/people/628
"Claybourn, Elsie Greiser.",/agents/people/629
"Claytor, Helen Jackson.",/agents/people/630
"Cleage, Albert B.",/agents/people/631
"Cleary, Gerald J.",/agents/people/632
"Clement, Hugh B.",/agents/people/633
"Clements, James.",/agents/people/634
"Clements, Jessie Young.",/agents/people/635
"Cleveland, Clyde.",/agents/people/636
"Cleveland, Harlan.",/agents/people/637
"Clinton, Hillary Rodham.",/agents/people/638
"Clippert, George H.",/agents/people/639
"Clock, John Percey.",/agents/people/640
"Clooney, George.",/agents/people/641
"Closterhouse, Leon T.",/agents/people/642
"Clute, Lemuel.",/agents/people/643
"Coakley, James F.",/agents/people/644
"Coate, Lowell H.",/agents/people/645
"Cobb, Alice Vara.",/agents/people/646
"Coblentz, Edmond D.",/agents/people/647
"Cochrane, Alexander Martin.",/agents/people/648
"Cockburn, Charles.",/agents/people/649
"Cocker, Benjamin Clark.",/agents/people/650
"Cody, Hiram Sedgewick.",/agents/people/651
"Coffman, Al.",/agents/people/652
"Cogan, James J.",/agents/people/653
"Cogley, John.",/agents/people/654
"Cogswell, Everett C.",/agents/people/655
"Cohen, Benjamin V.",/agents/people/656
"Cohen, Sophie.",/agents/people/657
"Colburn, Sherwood.",/agents/people/658
"Cole, David E.",/agents/people/659
"Cole, Juan Ricardo.",/agents/people/660
"Cole, Robert E.",/agents/people/661
"Cole, Verna.",/agents/people/662
"Coleman, Mary Sue.",/agents/people/663
"Coller, Frederick A.",/agents/people/664
"Collier, T. Maxwell.",/agents/people/665
"Collier, Victory P.",/agents/people/666
"Collier, William W.",/agents/people/667
"Collins, Francis S.",/agents/people/668
"Collins, LeRoy.",/agents/people/669
"Collins, Russell B.",/agents/people/670
"Comparet, Bertrand.",/agents/people/671
"Compton, Bulah.",/agents/people/672
"Comstock, Darius.",/agents/people/673
"Conant, Isabel Fiske.",/agents/people/674
